,Title,Abstract,Venue,Year,Reference_Count,Citation_Count,Influential_Citation_Count,Open_Access,TLDR,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,fieldsOfStudy,Publication_Type
0,"The Scale of Ethical Attitude toward Ethnic Humor (EATEH): Development, Reliability, and Validity","Research on ethnic humor has been centered on initiators and functions of ethnic humor, ignoring people’s ethical attitudes toward this type of humor. The purpose of the present article was to develop a scale measuring the ethical attitude toward ethnic humor, named EATEH (study 1). Further, we evaluated its relation to personal distress, empathic concern, perspective taking, authoritarianism, and self-efficacy (study 2). Exploratory factor analysis favored a one-factor structure, interpreted as a general ethical attitude toward ethnic humor that accounted for 55.9% of the total variance. EATEH obtained Cronbach’s alpha of .94, indicating a high reliability. Multiple regression analysis showed that EATEH had considerable unique variance that was not explained by the tested psychological constructs (study 2). Hence, our scale is a novel and objective measure for evaluating ethical attitude toward ethnic humor.",,2013,77,5,0,True,,0,1391152009,E. F. Haghish,11363455,Arash Heydari,2001444,G. Pfuhl,34585107,R. Biegler,4994730,A. Teymoori,,,Psychology,
1,A Feminist Pentecostal Theological Anthropology: North America and Beyond,"Abstract In this article I focus on developing a feminist Pentecostal theological anthropology that can benefit Pentecostal women. I begin by highlighting various Pentecostal scholars whose anthropologies adopt the approaches of the imago Dei (a theo-logical approach) and the imago Christi (a christological approach). For all the merits that these two approaches have, they are ultimately inadequate on their own for Pentecostals as they have been presented thus far, because they lack a strong pneumatological component. Therefore, I expand the traditional theo-logical and christological approaches by highlighting the role of the Spirit in constituting the imago Dei and imago Christi, and by articulating a third way, the imago Spiritus, which enables pneumatology to stand on its own as a further approach to affirming women’s full humanity. I conclude by highlighting some of the issues Pentecostal women face globally and note how this anthropology can be beneficial for Pentecostal women worldwide.",,2013,1,1,0,False,,1,40164727,Lisa P. Stephenson,,,,,,,,,,,Sociology,
2,"Dying to Get Out of the Asylum: Mortality and Madness in Four Mental Hospitals in Victorian Canada, c. 1841–1891","This article examines the status of lunatic cadavers during the second half of the nineteenth century. The first section summarizes cause of death data of over three thousand patients who were admitted to the four principal lunatic asylums in the province of Ontario (Canada). The results illuminate the alleged causes of death, revealing, among other factors, the impact of tuberculosis and general paralysis of the insane. The data also suggest that there was a steady increase in life chances of those entering the mental hospital over the five decades under study. The second section of the article investigates the tension between medical schools and asylum superintendents as educational requirements for nineteenth-century medical education necessitated more and more material for dissection, elevating the status of alienists as gatekeepers to cadavers. The article then concludes by reflecting on what implications these findings have for our understanding of the Victorian lunatic asylum.",Bulletin of The History of Medicine,2013,74,4,1,False,"{'model': 'tldr@v2.0.0', 'text': 'Cause of death data of over three thousand patients who were admitted to the four principal lunatic asylums in the province of Ontario (Canada) illuminate the alleged causes of death, revealing the impact of tuberculosis and general paralysis of the insane.'}",2,2144036837,D. Wright,14298368,Laurie Jacklin,2149888528,Tom Themeles,,,,,,,Medicine,JournalArticle
3,"Citizenship without representation? Blackface, misogyny and parody in Die Antwoord, Lupé Fiasco and Angel Haze","Abstract This article explores Die Antwoord's blackface politics to question whether the concept of citizenship has any value in a context where marginal artists’ attempts to represent themselves on their own terms are overshadowed by the global reach of corporate entertainment media monopolies, and by the legacy of racism and sexism in the music industry. It analyses the work of Die Antwoord, Lupé Fiasco and Angel Haze to contend that global capital undermines the nation-state's ability to secure its citizens’ economic or cultural interests. Using Michael Hardt and Antonio Negri's concept of Empire, the author argues that corporate globalisation undermines the sovereignty of the nation-state, effectively compromising democratic ideals. The global appeal of Die Antwoord tells us a great deal about the extent to which diverse cultural expressions are marginalised, as well as the extent to which colonial conceptions of race, gender and class endear in public discourse – specifically in light of the continuing appeal of blackface in the mainstream entertainment industry.",,2013,41,2,0,False,,3,73721487,Adam Haupt,,,,,,,,,,,Sociology,
4,"Schools, Sex Education, and Support for Sexual Minorities: Exploring Historic Marginalization and Future Potential","School-based adolescent sexual health education in the United States has long served as a means of combating emotional and physical threats to the well-being of youth. However, this sex education has since its inception marginalized the experiences and health concerns of lesbian, gay, and bisexual (LGB) students and contributed to school environments frequently hostile toward sexual minority groups. Growing concern for the welfare and educational experiences of sexual minorities suggests the need to improve school-based support for LGB students. This article explores this challenge by examining the relationship between sex education and sexual minorities. Through a review of the history of adolescent sexuality and sex education, and continuing barriers to support for LGB students, this article reveals how marginalization of LGB groups has manifested within schools and argues improving education with regards to LGB groups is necessary to develop equitable and safe educational environments. Suggestions for improving support of sexual minorities in schools and sex education are discussed.",,2013,84,40,6,False,,4,1401799456,David McCarty-Caplan,,,,,,,,,,,Psychology,Review
5,"The growing number of female physicians: meanings, values, and outcomes",,Israel Journal of Health Policy Research,2013,14,9,0,True,"{'model': 'tldr@v2.0.0', 'text': 'This commentary uses Haklai et al’s nuanced report on the feminization of medicine in Israel as a starting point to discuss whether gender shifts are an outcome of more egalitarian attitudes towards women overall, or instead arise from men choosing other professions, and its meaning for the quantity and quality of medical care.'}",5,5646624,S. Phillips,,,,,,,,,,,"Sociology, Medicine",Editorial
6,A Radical Green Political Theory,"This volume is the first systematic, comprehensive and cogent environmental political philosophy. It exposes the relationships between the ever-worsening environmental crises, the nature of prevailing economic structures and the role of the modern state and concludes that the combination of these factors is driving humanity towards destruction. Innovative, provocative and cutting-edge, A Radical Green Political Theory will be of enormous value to all those with an interest in the environment, political theory and moral and political philosophy.",,1999,0,43,2,False,,6,152392235,A. Carter,,,,,,,,,,,Political Science,
7,Teachers and Texts: A Political Economy of Class and Gender Relations in Education,Introduction 1.The Politics of Teachers and Texts. Teachers 2. Controlling the Work of Teachers 3. Teaching and 'Women's Work'. Texts 4. The Culture and Commerce of the Textbook. 5. Old Humanists and New Curricula. 6. Educational Reports and Economic Realities. 7. Is the New Technology Part of the Solution or Part of the Problem in Education? Conclusion 8. Supporting Democracy in Education.,,1988,0,834,64,False,,7,69057836,M. Apple,,,,,,,,,,,"Political Science, Sociology",
8,Selling genital cosmetic surgery to healthy women: a multimodal discourse analysis of Australian surgical websites,"The multimodal nature of web pages enables them to interweave text, images, colour and other graphical material to create discursive contexts which may be difficult to identify or challenge. Multimodal discourse analysis provides a tool for deconstructing such websites. This paper examines websites that promote the growing practice of female genital cosmetic surgery, in particular labial reduction or labiaplasty. We examine the ways in which four Australian cosmetic surgery websites normalise unnecessary surgical intervention. From our multimodal critical discourse analysis, three themes emerged – ‘pathologising the normal’, ‘normalising modification’ and ‘cosmetic surgery is easy’. All were embedded in a neoliberal discourse of individual choice, self-improvement and objectification, through text and images that medicalised normal women's bodies, normalised the use of surgery to fit a cultural ideal of beauty and stressed the rhetoric of choice, empowerment and agency, thus creating an ideological foundation and justification for cosmetic surgery.",,2013,59,52,6,False,"{'model': 'tldr@v2.0.0', 'text': 'This paper examines websites that promote the growing practice of female genital cosmetic surgery, in particular labial reduction or labiaplasty, and examines the ways in which four Australian cosmetic surgery websites normalise unnecessary surgical intervention.'}",8,14996790,Claire Moran,2115444700,Christina Lee,,,,,,,,,Psychology,
9,Factory ‘nuns’: the ethnicization of migrant labor in the making of Tibetan carpets,"Many debates over migrant labor politics in contemporary China rely upon essentialist notions of ethnic identity. In contrast, I identify migrant labor politics as transnational processes through which women migrants from rural Tibet become ethnic workers. Drawing on post-colonial theories of ethnicity and on feminist literature on global capitalism, this article analyzes the uses of migrant laborers in a globalizing Tibetan carpet industry. First, I investigate the making of Tibetan carpets and the essentialist construction of ‘carpet weavers’ employed by Tibetan–Nepalese carpet factory owners, carpet dealers in New York City, and various participants in Lhasa, including party cadres, international non-government organizations (NGOs), and overseas investors. I argue that the functioning of the international carpet business relies upon the ethnicization of migrant labor, in which labor subjugation involves creating ethnic subjects and ethnicized boundaries. This form of labor commodification is driven by both an economic logic and a moral imperative for preserving or regenerating ‘ethnic culture.’ Second, through the lens of gender, I look closely at the ethnicization of migrant labor in post-socialist Lhasa, analyzing its significance for the labor force in the carpet industry. The women carpet weavers, who mostly come from Tibet's rural areas, I found, strive to reconcile their desires for female autonomy with labor positions that reduce them to strangers in the city. Some women attempt to overcome their experiences of alienation while actively engaging in the reproduction of the patriarchal family as well as in labor hierarchies at work.",,2013,56,0,0,False,,9,49104890,T. Y. Zhang,,,,,,,,,,,Sociology,
