,abstract,prism:coverDate,prism:aggregationType,subtypeDescription,prism:publicationName,source-id,citedby-count,prism:volume,title,openaccess,openaccessFlag,prism:doi,dc:publisher,venue,year,referenceCount,influentialCitationCount,tldr,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,author_1_paperCount,author_1_citationCount,author_1_hIndex,author_2_paperCount,author_2_citationCount,author_2_hIndex,author_3_paperCount,author_3_citationCount,author_3_hIndex,author_4_paperCount,author_4_citationCount,author_4_hIndex,author_5_paperCount,author_5_citationCount,author_5_hIndex,author_6_paperCount,author_6_citationCount,author_6_hIndex,fieldsOfStudy
0,"© GKA Ediciones, authors.The study of the gender gap has attracted the interest of international organizations and researchers. This paper provides an overview of the situation of women in Europe. The research is carried out on the basis of gender variables located in international repositories and using data analysis techniques. The situation in Europe is positive but improvements are needed in some countries in areas such as business, law and politics. Women in some countries would also benefit from actions to redress discrimination in the family sphere.",2022-12-20,Journal,Article,Human Review. International Humanities Review / Revista Internacional de Humanidades,21101039068,0,11,An overview of the gender gap In the European region UNA VISIÓN GENERAL DE LA BRECHA DE GÉNERO EN LA REGIÓN DE EUROPA,1,true,10.37467/revhuman.v11.4124,Eagora Science,HUMAN Review International Humanities Review / Revista Internacional de Humanidades,2022.0,12.0,0.0,,0,2128534877,Mary Luz Mouronte López,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,,,,,,,,
1,"© 2022 by the authors.While the right to food and community self-reliance underpin current knowledge and interpretation of community food security (CFS), the literature on CFS seldom accounts for the ways in which gender-based violence (GBV) disrupts and undermines CFS. In this review, we make the case that GBV in CFS contexts manifests as a continuum, involving different forms of violence that blend into and reinforce each other, fueling social degradation and undermining the capacity of community food system workers to prioritise and pursue CFS. We show that harms to CFS resulting from GBV manifest through (i) GBV-induced social degradation, (ii) erosion of moral and ethical values anchoring CFS, (iii) disruption of crucial food systems sustainability pathways to CFS, (iv) the challenges, behaviours and activities of community food system workers, and (v) the crippling of community-level on-farm and off-farm food value chains, which oftentimes disrupt food access, consumption and utilisation. We further outline that the diversion of CFS funds into GBV prevention services may reduce CFS-related economic outputs and that CFS efforts that are GBV-blind can undermine the agency of community food system workers, pushing them into decisions that undermine CFS. We conclude that there is a dearth of information on how to mainstream GBV-sensitivity into CFS plans, and it is unclear whether GBV-responsive CFS initiatives can enhance the legitimacy of CFS efforts in GBV-exposed settings. We suggest that the spectrum of what is considered “community” in relation to CFS be expanded; and that scholars and practitioners pay attention to the dynamics of GBV, focusing on how GBV occurring at individual and household levels spills over into communities to undermine CFS. Finally, since GBV is not only a human rights violation issue but also a catalyst for social degradation and food insecurity, we encourage refocusing CFS efforts to prioritise early detection and prevention of GBV across specific community-level, on-farm and off-farm food value chains in order to better enhance community ties and foster food security.",2022-12-01,Journal,Review,Land,21100811521,0,11,Harms to Community Food Security Resulting from Gender-Based Violence,1,true,10.3390/land11122335,MDPI,Land,2022.0,0.0,0.0,,1,7366790,U. Okpara,73506232,I. Anugwa,,,,,,,,,18.0,248.0,9.0,26.0,41.0,3.0,,,,,,,,,,,,,
2,"© 2022 Camargo Freile et al. This is an open access article distributed under the terms of the Creative Commons Attribution License,Intimate partner violence (IPV) includes assaults that risk a woman’s bodily integrity. Intimate partners commit IPV, people with whom the victim shares (or shared) a close personal or sexual relationship. This phenomenon has a great global and national impact. Thus, it is necessary to establish trends of the risk of physical violence to women by their current or former partner in each department of Colombia and its relationship with sociodemographic and health characteristics. This study uses an ecological approach at the departmental level, with victims of intimate partner violence treated at the National Institute of Legal Medicine and Forensic Sciences (INMLyCF). Potential factors were identified through Bayesian factor analysis and were included in the model to estimate risk. The findings show that the Casanare department had the highest risk of producing victims (SMR: 2.545). In departments where the educational level of women is at or below primary school, there is a high-risk β = 0.343 (0.285, 0.397) of them being assaulted. For the departments in which the employment of women is in sales and services or office workers, the associated factor presents a higher risk β = 0.361 (0.201, 0.485), as in the risk related to affiliation with the social security system β = 0.338 (0.246, 0.498), as well as sexual and reproductive life β = 0.143 (0.003, 0.322). The following categories were associated with physical gender violence: no education and low participation in making purchases at home β = 0.106 (0.049, 0.199), low participation in decisions about their health, and visits to family and friends β = 0.240 (0.170, 0.299). Therefore, public health programs should strengthen women’s empowerment in household decisions and increase their educational level to reduce this incidence.",2022-12-01,Journal,Article,PLoS ONE,10600153309,0,17,Risk of violence from a current or former partner: Associated factors and classification in a nationwide study in Colombia,1,true,10.1371/journal.pone.0279444,Public Library of Science,PLoS ONE,2022.0,35.0,0.0,,2,2197842398,Isaac Esteban Camargo Freile,2146297045,K. C. Flórez Lozano,2197840951,Carlos Alberto Sarmiento Crespo,2173043778,Carolina Mercedes Vecchio Camargo,1752794126,S. R. Rodríguez Acosta,1422219867,V. Flórez-García,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,17.0,74.0,5.0,Medicine
3,"© 2022 by the authors.The objective was to investigate the validity and reliability of a new instrument assessing sexual harassment at a public university in Sweden. In-depth interviews and focus group discussions resulted in a 10-item instrument, the ‘Lund University Sexual Harassment Inventory’ (LUSHI). A survey was sent to all staff, including PhD students, and students, with a response rate of 33% (n = 2736) and 32% (n = 9667), respectively. Exploratory factor analysis and Cronbach’s alpha statistics were applied. Having experienced one or more of 10 specific behaviors was defined as sexual harassment exposure and was reported by 17.1% of staff/PhD students and 21.1% of students. Exploratory factor analysis yielded two factors with Eigenvalues above 1, labeled ‘unwanted sexual attention of soliciting type’ and ‘unwanted sexual attention of non-soliciting type’. Rape/attempted rape fell outside of the two factors. The Cronbach’s alpha values of the original 10-item scale and of the two newly formed scales were 0.80, 0.80, and 0.66, respectively. The mentioned statistics were markedly similar among men, women, and non-binary individuals and between staff/PhD students and students. We conclude that the 10-item instrument could be used for assessing sexual harassment in university settings or any type of workplace.",2022-12-01,Journal,Article,International Journal of Environmental Research and Public Health,144989,0,19,Validation of Lund University Sexual Harassment Inventory (LUSHI)—A Proposed Instrument for Assessing Sexual Harassment among University Employees and Students,1,true,10.3390/ijerph192417085,MDPI,International Journal of Environmental Research and Public Health,2022.0,30.0,0.0,,3,5976888,P. Östergren,4056026,C. Canivet,2602618,G. Priebe,144104533,A. Agardh,,,,,192.0,6564.0,45.0,48.0,834.0,16.0,53.0,1599.0,22.0,104.0,1822.0,24.0,,,,,,,Medicine
4,"© 2022 by the authors.There is growing recognition that greenspace provides invaluable benefits to health and wellbeing, and is essential infrastructure for promoting both social and environmental sustainability in urban settings. This paper contributes towards efforts to build ‘just’ and equitable urban sustainability, and more specifically greenspace management, by drawing attention to hostility and exclusion experienced by two-spirit, lesbian, gay, bisexual, transgender, queer, genderqueer, pansexual, transsexual, intersex and gender-variant (2SLGBTQ+) park occupants. There is evidence that access to greenspace is inequitable—despite ongoing media accounts of targeted violence and discriminatory police patrolling of 2SLGBTQ+ communities in urban parks, this population has not received adequate research attention. This paper examines systemic barriers that impede urban greenspace access among 2SLGBTQ+ communities, including how the threat of violence in greenspace limits opportunities for accessing benefits associated with naturalized settings. These themes are explored within the context of the City of Toronto, Canada. Our mixed-method approach draws upon key informant interviews, key document content analysis, and ground-truthing. Our findings reveal how queer corporeality, kinship and love subvert deeply entrenched heteronormative social values and understandings of sexuality, partnership, gender, and use of public space, challenging institutional understandings of morality and daily life. The paper concludes by reflecting on the state of 2SLGBTQ+ communities’ relationships to greenspace, and potential ways forward in building greater inclusivity into the social fabric of park design and management.",2022-12-01,Journal,Article,International Journal of Environmental Research and Public Health,144989,0,19,Strengthening Equity and Inclusion in Urban Greenspace: Interrogating the Moral Management & Policing of 2SLGBTQ+ Communities in Toronto Parks,1,true,10.3390/ijerph192315505,MDPI,International Journal of Environmental Research and Public Health,2022.0,66.0,0.0,,4,49449492,C. Davis,5850293,Sara Edge,,,,,,,,,34.0,376.0,9.0,25.0,444.0,10.0,,,,,,,,,,,,,Medicine
5,"© 2022, The Author(s).Background: Ending preventable maternal deaths remains a challenge in low- and middle-income countries (LMICs). Society perceived causes and real-life observations can reveal the intangible causes of maternal deaths irrespective of formal maternal death investigations. This study reports complex patterns in which social determinants act towards paving the path to maternal deaths in a rural Sri Lankan setting. Methods: We conducted social autopsies for 15/18 maternal deaths (in two consecutive years during the past decade) in district A (pseudonymized). In-depth interviews of 43 respondents and observations were recorded in the same field sites. During thematic analysis, identified themes were further classified according to the World Health Organization framework for social determinants of health (SDH). The patterns between themes and clustering of social determinants based on the type of maternal deaths were analyzed using mixed methods. Results: Discernable social causes underpinned 12 out of 15 maternal deaths. Extreme poverty, low educational level, gender inequity, and elementary or below-level occupations of the husband were the characteristic structural determinants of most deceased families. Social isolation was the commonest leading cause manifesting as a reason for many other social factors and resulted in poor social support paving the path to most maternal deaths. A core set of poverty, social isolation, and poor social support acted together with alcohol usage, and violence leading to suicides. These core determinants mediating through neglected self-health care led to delay in health-seeking. Deficits in quality of care and neglect were noted at health institutions and the field. Conclusion: Social autopsies of maternal deaths revealed complex social issues and social determinants of health leading to maternal deaths in Sri Lanka, indicating the need for a socially sensitive health system.",2022-12-01,Journal,Article,Reproductive Health,144680,0,19,Social determinants of health pave the path to maternal deaths in rural Sri Lanka: reflections from social autopsies,1,true,10.1186/s12978-022-01527-2,BioMed Central Ltd,Reproductive Health,2022.0,59.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'It is of prime importance to identify social causes leading to deaths of women during pregnancy and postpartum, as prevention of these is possible through simple multisectoral interventions.'}",5,2193598686,Lasandha Irangani,2085861414,I. Prasanna,121975610,S. Gunarathne,2193594289,Sandaru Hasaranga Shanthapriya,40559871,Nuwan Darshana Wickramasinghe,4006481,S. Agampodi,1.0,0.0,0.0,10.0,5.0,1.0,16.0,39.0,2.0,1.0,0.0,0.0,44.0,229.0,9.0,209.0,1838.0,23.0,Medicine
6,"© 2022, The Author(s).Background: There is an increasing focus on readiness of health systems to respond to survivors of violence against women (VAW), a global human rights violation damaging women’s health. Health system readiness focuses on how prepared healthcare systems and institutions, including providers and potential users, are to adopt changes brought about by the integration of VAW care into services. In VAW research, such assessment is often limited to individual provider readiness or facility-level factors that need to be strengthened, with less attention to health system dimensions. The paper presents a framework for health system readiness assessment to improve quality of care for intimate partner violence (IPV), which was tested in Brazil and Palestinian territories (oPT). Methods: Data synthesis of primary data from 43 qualitative interviews with healthcare providers and health managers in Brazil and oPT to explore readiness in health systems. Results: The application of the framework showed that it had significant added value in capturing system capabilities - beyond the availability of material and technical capacity - to encompass stakeholder values, confidence, motivation and connection with clients and communities. Our analysis highlighted two missing elements within the initial framework: client and community engagement and gender equality issues. Subsequently, the framework was finalised and organised around three levels of analysis: macro, meso and micro. The micro level highlighted the need to also consider how the system can sustainably involve and interact with clients (women) and communities to ensure and promote readiness for integrating (and participating in) change. Addressing cultural and gender norms around IPV and enhancing support and commitment from health managers was also shown to be necessary for a health system environment that enables the integration of IPV care. Conclusion: The proposed framework helps identify a) system capabilities and pre-conditions for system readiness; b) system changes required for delivering quality care for IPV; and c) connections between and across system levels and capabilities.",2022-12-01,Journal,Article,BMC Health Services Research,28098,0,22,Improving health system readiness to address violence against women and girls: a conceptual framework,1,true,10.1186/s12913-022-08826-1,BioMed Central Ltd,BMC Health Services Research,2022.0,76.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Addressing cultural and gender norms around IPV and enhancing support and commitment from health managers was also shown to be necessary for a health system environment that enables the integration of IPV care.'}",6,39092804,M. Colombini,3897360,S. Mayhew,1397978598,C. Garcia-Moreno,1401318578,A. F. d'Oliveira,143732303,G. Feder,5934134,L. Bacchus,54.0,1863.0,22.0,175.0,4168.0,37.0,108.0,18472.0,39.0,62.0,2222.0,18.0,531.0,22861.0,71.0,80.0,14201.0,24.0,Medicine
7,"© 2022, The Author(s).Purpose of Review: Incels (involuntary celibates) have recently garnered media attention for seemingly random attacks of violence. Much attention has centered around the misogynistic and violent discourse that has taken place in online incel forums as well as manifestos written by incels who have perpetrated deadly attacks. Such work overlooks the experiences and issues faced by incels themselves, the majority of which have not engaged in any violent behavior. Recent Findings: A small number of studies have recruited incels. Results from these studies highlight the nuanced nature of the incel identity. It is also apparent that incels suffer from high levels of romantic rejection and a greater degree of depressive and anxious symptoms, insecure attachment, fear of being single, and loneliness. Summary: Incels report significant issues pertaining to their mental, social, and relational well-being and may seek support from forums that often feature misogynistic and violent content.",2022-12-01,Journal,Review,Current Psychiatry Reports,15011,0,24,"Involuntary Celibacy: A Review of Incel Ideology and Experiences with Dating, Rejection, and Associated Mental Health and Emotional Sequelae",1,true,10.1007/s11920-022-01382-9,Springer,Current Psychiatry Reports,2022.0,77.0,0.0,,7,1994681090,Brandon Sparks,51478664,Alexandra M. Zidenberg,5118263,M. Olver,,,,,,,11.0,19.0,3.0,15.0,23.0,3.0,170.0,4851.0,34.0,,,,,,,,,,Medicine
8,"© 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.Purposeof Review: The aims of this paper are twofold. First, we review the current evidence on sexual assault prevention programming that also targets alcohol. Second, we identify barriers to including alcohol use in sexual assault programs and provide recommendations to overcome these barriers. Recent Findings: We identified six sexual assault programs that also include alcohol use content, four of which have yet to be rigorously evaluated. To further refine sexual assault prevention efforts, we identified four barriers that need to be overcome including (1) alcohol and sexual assault prevention efforts which are currently siloed, (2) fear of victim blaming when integrating alcohol into programs for women, (3) a lack of evidence on how alcohol impacts bystanders, and (4) uncertainty about how to include content related to alcohol and sexual consent communicated. Summary: Researchers and preventionists with expertise in alcohol and/or sexual assault prevention need to work together with stakeholders and students on college campuses to overcome these barriers and address a key correlate of sexual assault.",2022-12-01,Journal,Article,Current Addiction Reports,21100972444,0,9,Barriers to Addressing Alcohol Use in College Sexual Assault Prevention: Where We Stand and Future Steps,0,false,10.1007/s40429-022-00455-2,Springer Science and Business Media Deutschland GmbH,Current Addiction Report,2022.0,71.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Researchers and preventionists with expertise in alcohol and/or sexual assault prevention need to work together with stakeholders and students on college campuses to overcome barriers and address a key correlate of sexual assault.'}",8,34200116,R. Leone,50662491,T. Marcantonio,4609930,Michelle Haikalis,1435104864,A. M. Schipani-McLaughlin,,,,,43.0,322.0,11.0,49.0,340.0,11.0,24.0,253.0,8.0,13.0,63.0,3.0,,,,,,,Medicine
9,,2022-12-01,Journal,Review,Obstetrics and Gynecology Clinics of North America,28090,0,49,Violence Against Women – A Global Perspective,0,false,10.1016/j.ogc.2022.08.002,W.B. Saunders,Obstetrics and Gynecology Clinics of North America,2022.0,18.0,0.0,,9,47554290,Laura Keyser,1484661672,R. Maroyi,47356282,D. Mukwege,,,,,,,12.0,286.0,4.0,16.0,21.0,3.0,55.0,734.0,14.0,,,,,,,,,,Medicine
